id,name,genre,developers,publishers,releaseDates
67,Alaloth: Champions of The Four Kingdoms,[],['Gamera'],['Gamera'],"{'Japan': 'Unreleased', 'NorthAmerica': 'TBA', 'Europe': 'TBA', 'Australia': 'TBA'}"
68,Alekhine's Gun,[],['Haggard Games'],['Maximum Games'],"{'Japan': 'Nov 10, 2015', 'NorthAmerica': 'Mar 11, 2016', 'Europe': 'Nov 1, 2015', 'Australia': 'Nov 1, 2015'}"
69,Alienation,"[""Shoot 'em up""]",['Housemarque'],['Sony Interactive Entertainment'],"{'Japan': 'Jun 2, 2016', 'NorthAmerica': 'Apr 26, 2016', 'Europe': 'Apr 26, 2016', 'Australia': 'Apr 26, 2016'}"
70,Alien: Isolation,[],['Creative Assembly'],['Sega'],"{'Japan': 'Jun 11, 2015', 'NorthAmerica': 'Oct 7, 2014', 'Europe': 'Oct 7, 2014', 'Australia': 'Oct 7, 2014'}"
71,The Alliance Alive HD Remastered,[],['Cattle Call'],"['JP: FuRyu', 'WW: NIS America']","{'Japan': 'Oct 10, 2019', 'NorthAmerica': 'Oct 11, 2019', 'Europe': 'Oct 8, 2019', 'Australia': 'Oct 8, 2019'}"
72,Alone with You,[],['Benjamin Rivers'],['Benjamin Rivers'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Aug 23, 2016', 'Europe': 'Aug 23, 2016', 'Australia': 'Aug 23, 2016'}"
73,Alwa's Awakening,[],['Elden Pixels'],['Elden Pixels'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Mar 21, 2019', 'Europe': 'Mar 21, 2019', 'Australia': 'Mar 21, 2019'}"
74,Always Sometimes Monsters,[],['Vagabond Dog'],['Devolver Digital'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Oct 10, 2017', 'Europe': 'Oct 10, 2017', 'Australia': 'Oct 10, 2017'}"
75,Amazing Discoveries in Outer Space,[],['Cosmic Picnic'],['Cosmic Picnic'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Feb 3, 2016', 'Europe': 'Feb 2, 2016', 'Australia': 'Feb 2, 2016'}"
76,The Amazing Spider-Man 2,[],['Beenox'],['Activision'],"{'Japan': 'Sep 4, 2014', 'NorthAmerica': 'May 2, 2014', 'Europe': 'Apr 29, 2014', 'Australia': 'Apr 29, 2014'}"
77,American Fugitive,[],['Curve Digital'],['Fallen Tree Games'],"{'Japan': 'Unreleased', 'NorthAmerica': 'May 21, 2019', 'Europe': 'May 21, 2019', 'Australia': 'May 21, 2019'}"
78,Amnesia: Collection,[],['Frictional Games'],['Frictional Games'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Nov 22, 2016', 'Europe': 'Nov 22, 2016', 'Australia': 'Nov 22, 2016'}"
79,Among the Sleep,[],['Krillbite Studio'],['Krillbite Studio'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Dec 10, 2015', 'Europe': 'Dec 10, 2015', 'Australia': 'Dec 10, 2015'}"
80,Amplitude,['rhythm'],['Harmonix'],['Harmonix'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Jan 5, 2016', 'Europe': 'Jan 5, 2016', 'Australia': 'Jan 5, 2016'}"
81,Anarcute,[],['AnarTeam'],['AnarTeam'],"{'Japan': 'Feb 20, 2018', 'NorthAmerica': 'Unreleased', 'Europe': 'Unreleased', 'Australia': 'Unreleased'}"
82,Ancestors Legacy,[],['Destructive Creations'],"['JP: DMM Games', 'WW: Destructive Creations']","{'Japan': 'Dec 19, 2019', 'NorthAmerica': 'Aug 13, 2019', 'Europe': 'Aug 13, 2019', 'Australia': 'Aug 13, 2019'}"
83,Ancestors: The Humankind Odyssey,[],['Panache Digital Games'],['Private Division'],"{'Japan': 'Dec 6, 2019', 'NorthAmerica': 'Dec 6, 2019', 'Europe': 'Dec 6, 2019', 'Australia': 'Dec 6, 2019'}"
84,Anew: The Distant Light,[],['Resonator'],['Resonator'],"{'Japan': 'Unreleased', 'NorthAmerica': 'TBA', 'Europe': 'TBA', 'Australia': 'TBA'}"
85,AngerForce: Reloaded,[],['Screambox Studio'],['Zodiac Interactive'],"{'Japan': 'Aug 8, 2019', 'NorthAmerica': 'Apr 2, 2019', 'Europe': 'Apr 2, 2019', 'Australia': 'Apr 2, 2019'}"
86,Angry Birds Star Wars,[],['Exient Entertainment'],['Activision'],"{'Japan': 'Unreleased', 'NorthAmerica': 'Nov 29, 2013', 'Europe': 'Nov 15, 2013', 'Australia': 'Nov 15, 2013'}"
87,Anima: Gate of Memories,[],['Anima Project'],['BadLand Games'],"{'Japan': 'Jan 1, 2017', 'NorthAmerica': 'Jun 3, 2016', 'Europe': 'Mar 21, 2017', 'Australia': 'Mar 21, 2017'}"
